,pos,kinetic,electron-electron,electron-nucleus,wf
0,-0.501,1.996007984031936,0.6662225183211193,-5.992015968063872,slater unopt.
1,-0.4818080808080808,2.075515209962473,0.6748512259797272,-6.151030419924946,slater unopt.
2,-0.4626161616161616,2.161619249328588,0.6837063791877016,-6.323238498657176,slater unopt.
3,-0.44342424242424244,2.2551766555046813,0.6927970104759306,-6.5103533110093625,slater unopt.
4,-0.42423232323232324,2.3571989809281173,0.7021326392385762,-6.714397961856235,slater unopt.
5,-0.40504040404040403,2.4688894984912344,0.7117233049842199,-6.937778996982469,slater unopt.
6,-0.3858484848484849,2.5916908819602607,0.7215796033498786,-7.183381763920521,slater unopt.
7,-0.3666565656565657,2.727347860822612,0.7317127251494837,-7.454695721645224,slater unopt.
8,-0.3474646464646465,2.877990639262769,0.742134498759361,-7.755981278525538,slater unopt.
9,-0.32827272727272727,3.0462475768485184,0.7528574361782219,-8.092495153697037,slater unopt.
10,-0.30908080808080807,3.23539984966829,0.7638947831387588,-8.470799699336581,slater unopt.
11,-0.2898888888888889,3.4495975469528553,0.7752605736928245,-8.89919509390571,slater unopt.
12,-0.2706969696969697,3.694167692824359,0.7869696897431617,-9.388335385648718,slater unopt.
13,-0.2515050505050505,3.9760632957146873,0.799037926052672,-9.952126591429375,slater unopt.
14,-0.23231313131313136,4.304534979781729,0.8114820613283714,-10.609069959563458,slater unopt.
15,-0.21312121212121216,4.692165505474192,0.8243199360527563,-11.384331010948385,slater unopt.
16,-0.19392929292929295,5.156518568675451,0.8375705378218089,-12.313037137350902,slater unopt.
17,-0.17473737373737375,5.7228741545754085,0.8512540950481087,-13.445748309150817,slater unopt.
18,-0.15554545454545454,6.428988895382817,0.8653921800015734,-14.857977790765634,slater unopt.
19,-0.1363535353535354,7.333876583450624,0.8800078222917537,-16.66775316690125,slater unopt.
20,-0.11716161616161619,8.53521855332356,0.895125634047324,-19.07043710664712,slater unopt.
21,-0.09796969696969698,10.20723785957315,0.9107719482239947,-22.4144757191463,slater unopt.
22,-0.07877777777777784,12.693935119887156,0.9269749716757647,-27.387870239774312,slater unopt.
23,-0.05958585858585863,16.782505509408363,0.9437649548613428,-35.565011018816726,slater unopt.
24,-0.040393939393939426,24.756189047261795,0.9611743803337897,-51.51237809452359,slater unopt.
25,-0.021202020202020222,47.165316817532116,0.9792381724843965,-96.33063363506423,slater unopt.
26,-0.0020101010101010175,497.48743718592783,0.9979939313904373,-996.9748743718557,slater unopt.
27,0.017181818181818187,58.20105820105818,1.017482194061604,-118.40211640211636,slater unopt.
28,0.03637373737373728,27.492363232435505,1.0377467269048941,-56.98472646487101,slater unopt.
29,0.055565656565656485,17.99672786766045,1.0588348538487042,-37.9934557353209,slater unopt.
30,0.07475757575757569,13.37657073368465,1.0807978253037696,-28.7531414673693,slater unopt.
31,0.0939494949494949,10.644016772390072,1.1036912340159868,-23.288033544780145,slater unopt.
32,0.1131414141414141,8.838496562806895,1.1275754849144066,-19.67699312561379,slater unopt.
33,0.1323333333333333,7.556675062972294,1.1525163273146368,-17.11335012594459,slater unopt.
34,0.1515252525252525,6.5995600293313785,1.1785854593507066,-15.199120058662757,slater unopt.
35,0.1707171717171717,5.857641559671025,1.2058612163363744,-13.71528311934205,slater unopt.
36,0.18990909090909092,5.2656773575873626,1.234429356974526,-12.531354715174725,slater unopt.
37,0.20910101010101,4.782377662914837,1.2643839640353005,-11.564755325829674,slater unopt.
38,0.22829292929292921,4.38033715322331,1.295828479430359,-10.76067430644662,slater unopt.
39,0.24748484848484842,4.0406514019835935,1.3288768976764787,-10.081302803967187,slater unopt.
40,0.2666767676767676,3.749857959925761,1.3636551467651068,-9.499715919851521,slater unopt.
41,0.2858686868686868,3.4981096074343667,1.4003026916929517,-8.996219214868734,slater unopt.
42,0.30506060606060603,3.2780371510877124,1.438974403697728,-8.556074302175425,slater unopt.
43,0.32425252525252524,3.0840160742655995,1.4798427480231393,-8.1680321485312,slater unopt.
44,0.34344444444444433,2.911679068262699,1.5231003553900826,-7.823358136525398,slater unopt.
45,0.36263636363636353,2.757583354224117,1.568963058051633,-7.515166708448234,slater unopt.
46,0.38182828282828274,2.618978333906511,1.617673491396918,-7.237956667813022,slater unopt.
47,0.40102020202020194,2.4936399586912175,1.6695053879492063,-6.987279917382435,slater unopt.
48,0.42021212121212115,2.3797504867671453,1.724768724193801,-6.759500973534291,slater unopt.
49,0.43940404040404035,2.275809751499966,1.7838159246112542,-6.551619502999932,slater unopt.
50,0.45859595959595956,2.1805687099403097,1.8470493852497247,-6.361137419880619,slater unopt.
51,0.47778787878787876,2.092979006786326,1.9149306562989612,-6.185958013572652,slater unopt.
52,0.49697979797979797,2.012154224507632,1.9879917267415008,-6.024308449015264,slater unopt.
53,0.5161717171717172,1.9373397780865345,2.066848994759807,-5.874679556173069,slater unopt.
54,0.5353636363636364,1.8678892851078281,2.15222070045001,-5.735778570215656,slater unopt.
55,0.5545555555555556,1.8032458425165296,2.2449488650536296,-5.60649168503306,slater unopt.
56,0.5737474747474746,1.7429270611432903,2.346027157041635,-5.485854122286581,slater unopt.
57,0.5929393939393938,1.6865130065927332,2.456636641107719,-5.373026013185466,slater unopt.
58,0.612131313131313,1.6336364086401218,2.5781921404203225,-5.267272817280244,slater unopt.
59,0.6313232323232322,1.583974656405498,2.7124030795364247,-5.167949312810996,slater unopt.
60,0.6505151515151514,1.5372432105091538,2.8613543744038834,-5.074486421018308,slater unopt.
61,0.6697070707070706,1.4931901479615695,3.0276155234105007,-4.986380295923139,slater unopt.
